,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Angoulême,45.65,0.15,54.21,91,100,3.44,FR,1651211301
1,Fethiye,36.6217,29.1164,62.47,46,1,4.12,TR,1651211302
2,Mocuba,-16.8392,36.9856,67.93,90,62,5.08,MZ,1651211302
3,Acatlán,20.15,-98.45,57.72,76,61,2.33,MX,1651211304
4,La Ronge,55.1001,-105.2842,41.25,87,100,6.91,CA,1651211126
5,Krasnoarmeysk,51.0239,45.6969,49.48,61,10,7.99,RU,1651211305
6,East London,-33.0153,27.9116,74.34,46,0,8.05,ZA,1651211305
7,Nouadhibou,20.931,-17.0347,62.58,82,77,18.41,MR,1651211306
8,Tuatapere,-46.1333,167.6833,52.41,88,85,2.42,NZ,1651211307
9,Plettenberg Bay,-34.0527,23.3716,59.97,77,29,10.42,ZA,1651211307
10,Port Lincoln,-34.7333,135.8667,64.17,66,100,17.74,AU,1651211308
11,Port Alfred,-33.5906,26.891,77.18,48,5,8.99,ZA,1651211309
12,Itoman,26.1247,127.6694,83.17,92,75,19.57,JP,1651211242
13,Aripuanã,-9.1667,-60.6333,72.99,87,82,1.68,BR,1651211310
14,Mataura,-46.1927,168.8643,55.47,93,31,2.84,NZ,1651211310
15,Angoche,-16.2325,39.9086,76.37,73,55,10.51,MZ,1651211311
16,Oyama,36.3,139.8,61.59,84,100,11.77,JP,1651211312
17,Mayo,38.8876,-76.5119,48.61,60,20,11.95,US,1651211312
18,Todos Santos,23.45,-110.2167,62.65,90,31,6.87,MX,1651211313
19,Atuona,-9.8,-139.0333,79.3,76,86,19.35,PF,1651211314
20,Vershino-Shakhtaminskiy,51.3012,117.8868,32.32,63,89,15.17,RU,1651211315
21,Mahébourg,-20.4081,57.7,81.25,73,75,11.5,MU,1651211315
22,Krasnosel'kup,65.7,82.4667,29.89,84,95,15.79,RU,1651211316
23,Izumo,35.3667,132.7667,51.69,93,75,28.77,JP,1651211317
24,Corpus Christi,27.8006,-97.3964,77.02,83,75,17.27,US,1651211123
25,Butaritari,3.0707,172.7902,81.81,72,96,15.77,KI,1651211318
26,New Norfolk,-42.7826,147.0587,69.3,49,100,5.93,AU,1651211318
27,Avarua,-21.2078,-159.775,78.85,89,80,10.36,CK,1651211319
28,Beringovskiy,63.05,179.3167,29.21,93,100,14.41,RU,1651211320
29,Marsaxlokk,35.8419,14.5431,61.41,77,0,14.97,MT,1651211321
30,Ushtobe,45.2514,77.9838,73.71,16,6,12.53,KZ,1651211321
31,Fougamou,-1.2154,10.5838,74.26,99,100,0.54,GA,1651211322
32,Jamestown,42.097,-79.2353,31.01,77,0,2.06,US,1651211322
33,Muriwai Beach,-36.8167,174.45,63.43,72,30,7.83,NZ,1651211323
34,George Town,5.4112,100.3354,89.55,75,40,10.36,MY,1651211148
35,Sinnamary,5.3833,-52.95,77.45,88,90,10.65,GF,1651211324
36,Rikitea,-23.1203,-134.9692,76.87,73,1,20.83,PF,1651211325
37,Ribeira Grande,38.5167,-28.7,62.64,89,58,20.51,PT,1651211326
38,Kapaa,22.0752,-159.319,75.18,87,40,11.5,US,1651211326
39,Punta Arenas,-53.15,-70.9167,42.91,70,75,25.32,CL,1651211050
40,Saldanha,-33.0117,17.9442,55.45,79,66,5.08,ZA,1651211327
41,Marzuq,14.4,46.4667,82.99,24,6,5.88,YE,1651211328
42,Vaini,-21.2,-175.2,78.96,73,75,10.36,TO,1651211328
43,Severo-Kuril'sk,50.6789,156.125,34.79,89,74,15.97,RU,1651211329
44,Saint George,37.1041,-113.5841,70.39,8,0,6.91,US,1651211126
45,Busselton,-33.65,115.3333,63.75,62,38,6.15,AU,1651211331
46,Saint Paul Harbor,57.79,-152.4072,42.31,81,100,19.57,US,1651211331
47,Mogadishu,2.0371,45.3438,85.87,74,75,11.5,SO,1651211062
48,Barrow,71.2906,-156.7887,8.62,78,100,18.41,US,1651211045
49,Ushuaia,-54.8,-68.3,42.46,75,100,27.63,AR,1651211333
50,Palauig,15.435,119.9045,87.13,66,97,7.74,PH,1651211334
51,Meulaboh,4.1363,96.1285,86.31,65,74,5.17,ID,1651211335
52,Marawi,7.9986,124.2928,77.65,85,75,4.23,PH,1651211335
53,Bengkulu,-3.8004,102.2655,85.1,68,99,7.31,ID,1651211184
54,Barranca,-10.75,-77.7667,64.89,91,79,4.36,PE,1651211336
55,Takoradze,4.8845,-1.7554,77.58,84,99,1.68,GH,1651211337
56,Port Hardy,50.6996,-127.4199,46.4,87,75,2.3,CA,1651211126
57,Cape Town,-33.9258,18.4232,57.61,88,40,10.36,ZA,1651211338
58,Bathsheba,13.2167,-59.5167,79.41,94,40,10.36,BB,1651211338
59,Huambo,-12.7761,15.7392,61.05,85,86,2.48,AO,1651211339
60,Bredasdorp,-34.5322,20.0403,60.64,70,98,12.91,ZA,1651211340
61,Imbituba,-28.24,-48.6703,69.85,93,100,8.99,BR,1651211340
62,Hobart,-42.8794,147.3294,71.46,67,40,14.97,AU,1651211073
63,Ōmagari,39.45,140.4833,50.76,81,100,9.22,JP,1651211341
64,Mahibadhoo,3.7833,72.9667,85.26,70,100,7.96,MV,1651211342
65,Albany,42.6001,-73.9662,39.06,46,0,10.6,US,1651211084
66,Goma,-1.6792,29.2228,63.79,95,100,1.12,CD,1651211343
67,Bolshevik,54.0065,27.5692,42.42,52,22,6.17,BY,1651211343
68,Antofagasta,-23.65,-70.4,60.22,86,100,2.53,CL,1651211163
69,Bilibino,68.0546,166.4372,32.0,89,100,1.32,RU,1651211344
70,Arraial do Cabo,-22.9661,-42.0278,74.3,89,0,17.36,BR,1651211345
71,San Fernando,15.0286,120.6898,91.13,36,98,11.54,PH,1651211346
72,Egvekinot,66.3167,-179.1667,25.65,80,42,6.22,RU,1651211346
73,Santa Marta,11.2408,-74.199,81.9,80,75,4.61,CO,1651211347
74,Maputo,-25.9653,32.5892,66.22,87,20,5.99,MZ,1651211347
75,Khorinsk,52.1657,109.7726,49.71,18,59,9.28,RU,1651211348
76,Fare,-16.7,-151.0167,81.63,72,0,21.25,PF,1651211349
77,Chumphon,10.3333,98.8333,89.58,52,89,5.91,TH,1651211350
78,Hanko,59.8333,22.95,36.14,73,13,6.44,FI,1651211350
79,Guangyuan,32.442,105.823,73.36,56,97,5.3,CN,1651211351
80,Hambantota,6.1241,81.1185,89.94,70,20,5.75,LK,1651211352
81,Eyrarbakki,63.863,-21.1481,46.45,89,100,1.9,IS,1651211352
82,Atasū,48.6814,71.6433,70.23,24,100,16.55,KZ,1651211118
83,Izvestkovyy,48.9833,131.55,56.19,24,12,10.27,RU,1651211353
84,Balsas,-7.5325,-46.0356,75.04,72,88,4.05,BR,1651211058
85,Tuktoyaktuk,69.4541,-133.0374,14.0,85,40,14.97,CA,1651211354
86,Ponta do Sol,32.6667,-17.1,62.01,78,100,2.75,PT,1651211355
87,Klyuchi,52.2667,79.1667,74.98,26,100,13.09,RU,1651211356
88,Galle,6.0367,80.217,87.15,66,93,8.34,LK,1651211356
89,Puerto Ayora,-0.7393,-90.3518,71.11,92,10,6.31,EC,1651211357
90,Kokopo,-4.352,152.2633,84.43,64,86,5.84,PG,1651211357
91,Srednekolymsk,67.45,153.6833,25.23,81,100,7.36,RU,1651211358
92,San Juan,-31.5375,-68.5364,48.25,39,0,5.55,AR,1651211313
93,Kaitangata,-46.2817,169.8464,48.07,92,8,3.53,NZ,1651211359
94,Boa Vista,2.8197,-60.6733,78.78,89,100,5.75,BR,1651211360
95,Saint-Philippe,-21.3585,55.7679,83.79,72,45,13.8,RE,1651211361
96,São Filipe,14.8961,-24.4956,70.65,73,1,5.95,CV,1651211361
97,Isangel,-19.55,169.2667,72.68,92,100,25.93,VU,1651211362
98,Boyolangu,-8.1181,111.8935,85.59,74,43,3.49,ID,1651211363
99,Coquimbo,-29.9533,-71.3436,55.13,94,0,8.05,CL,1651211363
100,Xingyi,24.1877,102.817,85.12,18,19,16.17,CN,1651211364
101,Gofitskoye,45.0792,43.0464,61.48,58,99,12.03,RU,1651211365
102,Dwārka,22.2394,68.9678,90.01,52,0,14.12,IN,1651211365
103,Alvarães,-3.2208,-64.8042,72.59,99,100,2.39,BR,1651211366
104,Lata,40.1629,-8.3327,51.08,84,34,4.54,PT,1651211367
105,Norman Wells,65.282,-126.8329,33.84,64,75,10.36,CA,1651211368
106,Lavrentiya,65.5833,-171.0,29.25,92,92,8.68,RU,1651211368
107,Hermanus,-34.4187,19.2345,61.43,77,85,12.46,ZA,1651211369
108,Bekhteyevka,50.8072,37.2085,50.9,63,17,8.99,RU,1651211370
109,Beloha,-25.1667,45.05,71.53,60,0,15.9,MG,1651211370
110,Lüderitz,-26.6481,15.1594,60.78,61,23,9.17,NA,1651211371
111,Hithadhoo,-0.6,73.0833,84.87,65,77,3.87,MV,1651211372
112,Qaanaaq,77.484,-69.3632,5.45,93,53,4.97,GL,1651211372
113,Lebu,-37.6167,-73.65,47.23,81,5,15.79,CL,1651211373
114,Yellowknife,62.456,-114.3525,28.92,69,75,19.57,CA,1651211162
115,Palafrugell,41.9174,3.1631,64.42,50,5,5.39,ES,1651211374
116,Hong Kong,22.2855,114.1577,89.65,73,46,8.01,HK,1651211358
117,Geraldton,-28.7667,114.6,73.81,35,0,17.27,AU,1651211376
118,Lubango,-14.9172,13.4925,60.4,76,24,2.53,AO,1651211376
119,Payette,44.0782,-116.9338,44.74,65,75,9.22,US,1651211191
120,Pyaozerskiy,65.8333,31.1667,30.45,58,58,9.13,RU,1651211377
121,Dunedin,-45.8742,170.5036,53.8,76,1,5.99,NZ,1651211378
122,Torbay,47.6666,-52.7314,39.76,95,100,5.99,CA,1651211379
123,Alofi,-19.0595,-169.9187,78.69,89,91,9.22,NU,1651211380
124,Airai,-8.9266,125.4092,75.56,47,94,2.21,TL,1651211380
